Id,Label
2500,0
2501,2
2502,1
2503,1
2504,2
2505,2
2506,1
2507,2
2508,0
2509,1
2510,0
2511,0
2512,1
2513,2
2514,0
2515,2
2516,1
2517,0
2518,1
2519,1
2520,1
2521,0
2522,1
2523,0
2524,1
2525,0
2526,0
2527,0
2528,0
2529,2
2530,1
2531,0
2532,0
2533,0
2534,2
2535,1
2536,0
2537,2
2538,0
2539,0
2540,2
2541,0
2542,2
2543,2
2544,1
2545,2
2546,2
2547,1
2548,1
2549,1
2550,0
2551,2
2552,1
2553,0
2554,2
2555,2
2556,2
2557,2
2558,2
2559,1
2560,1
2561,1
2562,0
2563,1
2564,1
2565,1
2566,2
2567,1
2568,2
2569,2
2570,2
2571,0
2572,0
2573,0
2574,2
2575,2
2576,0
2577,0
2578,1
2579,2
2580,0
2581,2
2582,2
2583,2
2584,2
2585,0
2586,2
2587,0
2588,0
2589,2
2590,1
2591,2
2592,1
2593,1
2594,2
2595,0
2596,0
2597,0
2598,2
2599,0
2600,2
2601,0
2602,2
2603,0
2604,2
2605,2
2606,2
2607,2
2608,0
2609,0
2610,0
2611,2
2612,1
2613,1
2614,1
2615,1
2616,0
2617,0
2618,1
2619,2
2620,2
2621,0
2622,1
2623,0
2624,2
2625,0
2626,0
2627,2
2628,1
2629,1
2630,1
2631,0
2632,1
2633,2
2634,1
2635,2
2636,2
2637,0
2638,1
2639,2
2640,2
2641,2
2642,2
2643,0
2644,1
2645,2
2646,2
2647,2
2648,2
2649,2
2650,0
2651,1
2652,0
2653,1
2654,0
2655,1
2656,0
2657,1
2658,2
2659,2
2660,2
2661,0
2662,2
2663,1
2664,1
2665,2
2666,2
2667,1
2668,2
2669,2
2670,1
2671,0
2672,0
2673,1
2674,1
2675,2
2676,1
2677,2
2678,1
2679,1
2680,1
2681,2
2682,0
2683,2
2684,0
2685,0
2686,0
2687,2
2688,1
2689,1
2690,0
2691,2
2692,0
2693,2
2694,0
2695,2
2696,0
2697,0
2698,0
2699,1
2700,1
